engine,method,selected_series,time_grain,band_available,lower_source_scenario,upper_source_scenario,first_valid_period,last_valid_period,max_width,max_width_pct_of_level,probabilistic,reason
ar1,Integrated VFM Scenario Envelope,Total NLTF revenue,june_year,True,"min(MoT VFM fast, MoT VFM slow)","max(MoT VFM fast, MoT VFM slow)",FY2025,FY2030,31.507011,0.491768,False,"Clipped to the periods the VFM composition moves. The FY2031-FY2050 post-model extrapolation layer is composition-invariant, so the envelope is not carried across it."
ar1,Integrated VFM Scenario Envelope,Total RUC+PED revenue,june_year,True,"min(MoT VFM fast, MoT VFM slow)","max(MoT VFM fast, MoT VFM slow)",FY2025,FY2030,31.507011,0.533163,False,"Clipped to the periods the VFM composition moves. The FY2031-FY2050 post-model extrapolation layer is composition-invariant, so the envelope is not carried across it."
ar1,Integrated VFM Scenario Envelope,Total RUC all classes,june_year,True,"min(MoT VFM fast, MoT VFM slow)","max(MoT VFM fast, MoT VFM slow)",FY2025,FY2030,31.507011,0.968751,False,"Clipped to the periods the VFM composition moves. The FY2031-FY2050 post-model extrapolation layer is composition-invariant, so the envelope is not carried across it."
ar1,Integrated VFM Scenario Envelope,Net FED revenue,june_year,False,,,,,,,False,"The MoT VFM Fast and Slow compositions produce the same values for this series under the selected controls, so no range is drawn. Width is never fabricated for visual consistency."
ar1,Integrated VFM Scenario Envelope,PED volume,june_year,False,,,,,,,False,"The MoT VFM Fast and Slow compositions produce the same values for this series under the selected controls, so no range is drawn. Width is never fabricated for visual consistency."
ar1,Integrated VFM Scenario Envelope,PED revenue,june_year,False,,,,,,,False,"The MoT VFM Fast and Slow compositions produce the same values for this series under the selected controls, so no range is drawn. Width is never fabricated for visual consistency."
ar1,Integrated VFM Scenario Envelope,Light RUC revenue,june_year,True,"min(MoT VFM fast, MoT VFM slow)","max(MoT VFM fast, MoT VFM slow)",FY2025,FY2030,167.436041,12.711847,False,"Clipped to the periods the VFM composition moves. The FY2031-FY2050 post-model extrapolation layer is composition-invariant, so the envelope is not carried across it."
ar1,Integrated VFM Scenario Envelope,Light RUC net km,june_year,True,"min(MoT VFM fast, MoT VFM slow)","max(MoT VFM fast, MoT VFM slow)",FY2025,FY2030,1861.305697,12.711847,False,"Clipped to the periods the VFM composition moves. The FY2031-FY2050 post-model extrapolation layer is composition-invariant, so the envelope is not carried across it."
ar1,Integrated VFM Scenario Envelope,Heavy RUC revenue,june_year,True,"min(MoT VFM fast, MoT VFM slow)","max(MoT VFM fast, MoT VFM slow)",FY2026,FY2030,16.255625,1.050722,False,"Clipped to the periods the VFM composition moves. The FY2031-FY2050 post-model extrapolation layer is composition-invariant, so the envelope is not carried across it."
ar1,Integrated VFM Scenario Envelope,Net MVR revenue,june_year,False,,,,,,,False,"The MoT VFM Fast and Slow compositions produce the same values for this series under the selected controls, so no range is drawn. Width is never fabricated for visual consistency."
