file,test,seconds
tests/test_revenue_outlook_long_run_sensitivities.py,test_pt_factor_follows_compound_formula_through_fy2050[Med-vnext],0.004
tests/test_revenue_outlook_long_run_sensitivities.py,test_pt_ratio_does_not_reset_at_fy2031[vnext],0.004
tests/test_revenue_outlook_long_run_sensitivities.py,test_post_model_rows_carry_provenance_stamps[vnext],0.004
tests/test_revenue_outlook_long_run_sensitivities.py,test_fleet_effect_ordering_high_med_low[vnext],0.003
tests/test_revenue_outlook_long_run_sensitivities.py,test_every_adjusted_series_reaches_fy2050[vnext],0.003
tests/test_revenue_outlook_trace_identity.py,test_signature_tracks_materialized_scenario_input_wide,0.003
tests/test_view_performance_caches.py,test_treasury_macro_fallback_survives_conflict_replay_failure,0.003
tests/test_vnext_parity.py,test_forecast_outputs_carry_governance_metadata[HEAVY_RUC],0.003
tests/test_vnext_parity.py,test_forecast_outputs_carry_governance_metadata[PED],0.003
tests/test_databricks_app_bundle_contract.py,test_replay_digest_excludes_only_the_audit_archive,0.002
tests/test_direct_treasury_scenario_replay.py,test_lineage_records_every_scenario_stream_quarter,0.002
tests/test_p1_direct_macro_replay_artifacts.py,test_light_ruc_transfer_was_accidentally_exact_and_is_recorded_as_such,0.002
tests/test_revenue_outlook_long_run_sensitivities.py,test_every_fed_path_group_is_sensitised[vnext],0.002
tests/test_revenue_outlook_replay_cache.py,test_cross_environment_bound_accepts_summation_noise_and_rejects_real_changes,0.002
tests/test_view_performance_caches.py,test_missing_policy_replay_fails_closed_for_current_paths_but_keeps_mbu_rate_only,0.002
tests/test_vnext_parity.py,test_production_state_hashes_match_manifest[HEAVY_RUC],0.002
tests/test_official_vintage.py,test_materializer_cli_bans_mbu26_constants,0.001
tests/test_reproducibility_audit_pack.py,test_reproducibility_report_does_not_claim_full_rebuild,0.001
tests/test_revenue_outlook_long_run_sensitivities.py,test_pt_leaves_official_rows_unchanged[vnext],0.001
tests/test_revenue_outlook_policy_runtime.py,test_formula_identities_close_on_every_materialised_state[ar1],0.001
tests/test_revenue_outlook_policy_runtime.py,test_formula_identities_close_on_every_materialised_state[ensemble],0.001
tests/test_revenue_outlook_replay_cache.py,test_compiled_cache_manifest_records_provenance[ar1],0.001
tests/test_revenue_outlook_replay_cache.py,test_compiled_cache_manifest_records_provenance[ensemble],0.001
tests/test_revenue_outlook_replay_cache.py,test_calculation_code_is_hashed_into_the_digest[ar1],0.001
tests/test_revenue_outlook_replay_cache.py,test_calculation_code_is_hashed_into_the_digest[ensemble],0.001
tests/test_revenue_outlook_replay_cache.py,test_runtime_mode_governance,0.001
tests/test_revenue_outlook_ui_slim_2050.py,test_the_fleet_mix_vfm_reference_is_display_only,0.001
tests/test_vnext_parity.py,test_recipe_replay_parity[HEAVY_RUC],0.001
tests/test_vnext_parity.py,test_production_state_hashes_match_manifest[PED],0.001
tests/test_vnext_parity.py,test_parity_audit_status_consistent[HEAVY_RUC],0.001
tests/test_anchored_shape_preview_behaviour.py,test_selecting_the_packs_own_schedule_skips_the_rebuild,0.0
tests/test_official_vintage_runtime_independence.py,test_generic_runtime_modules_are_vintage_agnostic[scripts/materialize_official_vintage.py],0.0
tests/test_p1_direct_macro_replay_artifacts.py,test_every_expected_artifact_is_committed,0.0
tests/test_view_performance_caches.py,test_replay_value_error_is_caught_before_streamlit_view_render,0.0
tests/test_vnext_parity.py,test_recipe_replay_parity[PED],0.0
tests/test_vnext_parity.py,test_parity_audit_status_consistent[PED],0.0
