artifact_name,artifact_role,repo_relative_path,status,required_for_runtime,required_for_replay,size_bytes,row_count,sha256,notes
model_coefficients.csv,Model Coefficients,data/revenue_model_source_pack/2026_05_19/model_coefficients.csv,repo_local_hash_verified,False,True,5854.0,31.0,4e9827856277e37071675fb99dbddf8eca6863cd4a7aeaeb22e4f1c7a4d54f3d,Normalized source-pack contract file.
mot_error_bands.csv,Error bands,data/revenue_model_source_pack/2026_05_19/mot_error_bands.csv,repo_local_hash_verified,True,True,21003.0,89.0,814ff9b8434fdeedc3d5cc5bd3c539ae338993b38048a57d4f0ccb0a18fdfda4,Normalized source-pack contract file.
official_befu25_annual.csv,Official BEFU25 annual,data/revenue_model_source_pack/2026_05_19/official_befu25_annual.csv,repo_local_hash_verified,True,True,378317.0,1940.0,6bd2c97fa686d5863f04bb5b1e23cb0c95f765c38a1a1ddf43e49e2924eaef90,Normalized source-pack contract file.
ped_bridge_inputs.csv,Forecast inputs + Official BEFU25 annual + Model annual,data/revenue_model_source_pack/2026_05_19/ped_bridge_inputs.csv,repo_local_hash_verified,True,True,23123.0,94.0,bd3723ab9543171a9ccb76b9aa3a9a0d64b9f832bcb026b96edf00730a2295be,Normalized source-pack contract file.
quarterly_actuals.csv,Quarterly actuals + Crown top-up,data/revenue_model_source_pack/2026_05_19/quarterly_actuals.csv,repo_local_hash_verified,True,True,245656.0,2007.0,f6d87c670fbbe76ef1667046228fde1e568e492a92bbd30e71a32272a926ca21,Normalized source-pack contract file.
release_registry.csv,Release Registry,data/revenue_model_source_pack/2026_05_19/release_registry.csv,repo_local_hash_verified,True,True,2647.0,53.0,7db073bc2e5c789af628ed34a63d1c80615c95342c3ad3cacba773188a024433,Normalized source-pack contract file.
release_values.csv,MOT release series,data/revenue_model_source_pack/2026_05_19/release_values.csv,repo_local_hash_verified,True,True,6884016.0,33772.0,dd89b45252f2fe24b92681d907198d50c0615601a810e59cc8f2ca465c40e15b,Normalized source-pack contract file.
series_master.csv,Series Master,data/revenue_model_source_pack/2026_05_19/series_master.csv,repo_local_hash_verified,True,True,4483.0,29.0,f1b3f242284fd361efbd498fc6750f505653e2bb036b67baac8c713904b20006,Normalized source-pack contract file.
unresolved_decisions.csv,Open Decisions,data/revenue_model_source_pack/2026_05_19/unresolved_decisions.csv,repo_local_hash_verified,True,True,1614.0,7.0,a3c2ee9ad8d68d79ee06f0ca23acaa893c8d653d4ff107c4a5a32d5bead66c71,Normalized source-pack contract file.
formula_lineage.csv,full formula lineage replay,data/revenue_model_source_pack/2026_05_19/formula_lineage.csv,not_vendored,False,True,,,,Not present in the repo-local normalized pack; dependent dashboard traces remain governed gaps.
