series_id,series_label,fan_source,available,reason,source_file,model_id,horizon_scope,interpretation
total_ruc_net_revenue,Total RUC all classes,MBU26 archived forecast error,False,No MBU26 archived forecast-error band is materialized for Total RUC all classes.,,,missing_archived_error_band_by_series_horizon,No MBU26 archived forecast-error band is materialized for Total RUC all classes.
total_ruc_net_revenue,Total RUC all classes,Current finalist backtest error,False,"Current finalist component uncertainty has not been propagated through this aggregate revenue formula, so no aggregate backtest-error fan is shown.",,,missing_model_stream_or_component_propagation,"Current finalist component uncertainty has not been propagated through this aggregate revenue formula, so no aggregate backtest-error fan is shown."
total_ruc_net_revenue,Total RUC all classes,Scenario spread,True,Current finalist base and comparison rows are materialized for this series; scenario spread is not probabilistic uncertainty.,current_hybrid_formula,PED__VNEXT_SOLVED_CONVEX_TOP2; dynamic_RESID_GBR_n150_d1_lr0.05_w36; HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.
total_ruc_net_revenue,Total RUC all classes,None / governed gap,False,Fan intentionally disabled; governed gap displayed.,,,not_applicable,Fan intentionally disabled; governed gap displayed.
net_mvr_revenue,Net MVR revenue,Auto / best available,True,"Auto selects Scenario spread, the highest-priority materialized fan source for this series.",mbu26_official_annual.csv,,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.
net_mvr_revenue,Net MVR revenue,MBU26 archived forecast error,False,No MBU26 archived forecast-error band is materialized for Net MVR revenue.,,,missing_archived_error_band_by_series_horizon,No MBU26 archived forecast-error band is materialized for Net MVR revenue.
net_mvr_revenue,Net MVR revenue,Current finalist backtest error,False,"Current finalist component uncertainty has not been propagated through this aggregate revenue formula, so no aggregate backtest-error fan is shown.",,,missing_model_stream_or_component_propagation,"Current finalist component uncertainty has not been propagated through this aggregate revenue formula, so no aggregate backtest-error fan is shown."
net_mvr_revenue,Net MVR revenue,Scenario spread,True,Current finalist base and comparison rows are materialized for this series; scenario spread is not probabilistic uncertainty.,mbu26_official_annual.csv,,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.
net_mvr_revenue,Net MVR revenue,None / governed gap,False,Fan intentionally disabled; governed gap displayed.,,,not_applicable,Fan intentionally disabled; governed gap displayed.
total_fed_ruc_net_revenue,Total RUC+PED revenue,Auto / best available,True,"Auto selects MBU26 archived forecast error, the highest-priority materialized fan source for this series.",data/revenue_model_source_pack/2026_05_19/mot_error_bands.csv; data/current_revenue_outlook/revenue_chart_rows.csv,MBU26 official comparator,june_year_horizon_from_fy2025_actual,Archived MBU26/MOT forecast-error quantiles by matching source series and June-year horizon.
total_fed_ruc_net_revenue,Total RUC+PED revenue,MBU26 archived forecast error,True,Archived forecast-error bands and MBU26 official central rows are materialized for this series.,data/revenue_model_source_pack/2026_05_19/mot_error_bands.csv; data/current_revenue_outlook/revenue_chart_rows.csv,MBU26 official comparator,june_year_horizon_from_fy2025_actual,Archived MBU26/MOT forecast-error quantiles by matching source series and June-year horizon.
total_fed_ruc_net_revenue,Total RUC+PED revenue,Current finalist backtest error,False,"Current finalist component uncertainty has not been propagated through this aggregate revenue formula, so no aggregate backtest-error fan is shown.",,,missing_model_stream_or_component_propagation,"Current finalist component uncertainty has not been propagated through this aggregate revenue formula, so no aggregate backtest-error fan is shown."
total_fed_ruc_net_revenue,Total RUC+PED revenue,Scenario spread,True,Current finalist base and comparison rows are materialized for this series; scenario spread is not probabilistic uncertainty.,current_hybrid_formula,PED__VNEXT_SOLVED_CONVEX_TOP2; dynamic_RESID_GBR_n150_d1_lr0.05_w36; HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.
total_fed_ruc_net_revenue,Total RUC+PED revenue,None / governed gap,False,Fan intentionally disabled; governed gap displayed.,,,not_applicable,Fan intentionally disabled; governed gap displayed.
total_nltf_net_revenue,Total NLTF revenue,Auto / best available,True,"Auto selects Scenario spread, the highest-priority materialized fan source for this series.",current_hybrid_formula,PED__VNEXT_SOLVED_CONVEX_TOP2; dynamic_RESID_GBR_n150_d1_lr0.05_w36; HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.
total_nltf_net_revenue,Total NLTF revenue,MBU26 archived forecast error,False,No MBU26 archived forecast-error band is materialized for Total NLTF revenue.,,,missing_archived_error_band_by_series_horizon,No MBU26 archived forecast-error band is materialized for Total NLTF revenue.
total_nltf_net_revenue,Total NLTF revenue,Current finalist backtest error,False,"Current finalist component uncertainty has not been propagated through this aggregate revenue formula, so no aggregate backtest-error fan is shown.",,,missing_model_stream_or_component_propagation,"Current finalist component uncertainty has not been propagated through this aggregate revenue formula, so no aggregate backtest-error fan is shown."
total_nltf_net_revenue,Total NLTF revenue,Scenario spread,True,Current finalist base and comparison rows are materialized for this series; scenario spread is not probabilistic uncertainty.,current_hybrid_formula,PED__VNEXT_SOLVED_CONVEX_TOP2; dynamic_RESID_GBR_n150_d1_lr0.05_w36; HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.
total_nltf_net_revenue,Total NLTF revenue,None / governed gap,False,Fan intentionally disabled; governed gap displayed.,,,not_applicable,Fan intentionally disabled; governed gap displayed.
