source_path,FY,period,section,line_label,series_id,value,unit,row_role,source_file,source_cell,formula,source_status,source_basis,vktpc_source_file,vktpc_source_cell,vktpc_source_status,population_source_file,population_source_cell,population_source_status,model_id,quarter_composition,actual_quarters,forecast_quarters,replacement_flag,value_status,residual_vs_official,scenario_name,scenario_role,fed_path,availability_status,forecast_segment,ped_bridge_mode_label,ped_bridge_value_delta,ped_bridge_population_warning
Current finalist Base case,2025,FY2025,FED,CNG,gross_cng_revenue,0.0,$m nominal ex GST,leaf,annual_spine.csv,Z42,,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,FED,Gross FED,gross_fed_revenue,2067.62792391,$m nominal ex GST,calculated_rollup,annual_spine.csv,Z43,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,ACTUAL,BEFU26 actual anchor,,,,,,,PED__VNEXT_SOLVED_CONVEX_TOP2,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,FED,FED refunds,fed_refunds,69.90077731,$m nominal ex GST,deduction,annual_spine.csv,Z44,,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,FED,Net FED,net_fed_revenue,1997.7271466,$m nominal ex GST,calculated_rollup,annual_spine.csv,Z45,gross_fed_revenue - fed_refunds,ACTUAL,BEFU26 actual anchor,,,,,,,PED__VNEXT_SOLVED_CONVEX_TOP2,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,MVR,MR1,mr1_revenue,329.940070075217,$m nominal ex GST,leaf,annual_spine.csv,Z48,,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,MVR,MR2,mr2_revenue,29.65313102,$m nominal ex GST,leaf,annual_spine.csv,Z49,,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,MVR,MR13,coo_revenue,-9.64521739130434e-05,$m nominal ex GST,deduction,annual_spine.csv,Z50,,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,MVR,Gross MVR,gross_mvr_revenue,359.5931046430431,$m nominal ex GST,calculated_rollup,annual_spine.csv,Z51,mr1_revenue + mr2_revenue + coo_revenue,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,MVR,MVR admin,mvr_admin_revenue,71.7641373652173,$m nominal ex GST,deduction,annual_spine.csv,Z52,,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,MVR,MVR net admin & COO,mvr_revenue_net_admin_coo,287.82906372999975,$m nominal ex GST,calculated_rollup,annual_spine.csv,Z53,mr1_revenue + mr2_revenue - mvr_admin_revenue,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,MVR,MVR refunds,mvr_refunds,1.03557262,$m nominal ex GST,deduction,annual_spine.csv,Z54,,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,MVR,MVR net admin/refunds/COO,net_mvr_revenue,286.79349111,$m nominal ex GST,calculated_rollup,annual_spine.csv,Z55,mvr_revenue_net_admin_coo - mvr_refunds,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,TUC,TUC net revenue,tuc_net_revenue,17.09481038,$m nominal ex GST,leaf,annual_spine.csv,Z58,,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,Totals,Total gross revenues,total_gross_revenue,4516.782072173352,$m nominal ex GST,calculated_rollup,annual_spine.csv,Z61,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,Totals,Total admin fees,total_admin_fees,104.02990896521729,$m nominal ex GST,calculated_rollup,annual_spine.csv,Z62,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,Totals,Total revenues net of admin fees,total_revenue_net_admin,4412.752163208135,$m nominal ex GST,calculated_rollup,annual_spine.csv,Z63,total_gross_revenue - total_admin_fees,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,Totals,Total refunds,total_refunds,133.49257672,$m nominal ex GST,calculated_rollup,annual_spine.csv,Z64,ruc_refunds + fed_refunds + mvr_refunds,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,Totals,Total NLTF revenue,total_nltf_net_revenue,4279.259586488135,$m nominal ex GST,calculated_rollup,annual_spine.csv,Z65,total_revenue_net_admin - total_refunds,ACTUAL,BEFU26 actual anchor,,,,,,,PED__VNEXT_SOLVED_CONVEX_TOP2; dynamic_RESID_GBR_n150_d1_lr0.05_w36; HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,Key volumes,Current finalist Light RUC conventional modelled km,current_light_ruc_conventional_modelled_km,13529.742736,million km,audit_only,official_annual.csv,Z5; Z7; Z9,BEFU26 actual light_ruc_net_km + light_bev_ruc_net_km + phev_ruc_net_km,ACTUAL,BEFU26 actual anchor total light-RUC universe,,,,,,,dynamic_RESID_GBR_n150_d1_lr0.05_w36,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2026,FY2026,Key volumes,Light RUC net km,light_ruc_net_km,12790.779603597242,million km,bridge_input,forecast_scenario_comparison.parquet; official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q2; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q2; scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q1; 2026Q2); official_annual.csv:population_proxy (2025Q3; 2025Q4); VFM 202405 Base uptake shares; BEFU26 rate cells AA5; AA7; AA9,raw Light RUC conventional model forecast (preserved exactly under the Base uptake basis),source_backed,raw AR(1) PED VKT per capita x scenario-input population; raw Light RUC conventional model forecast expanded by MoT VFM 202405 Base uptake shares (conventional_anchor_vfm_composition_v1),,,,,,,dynamic_RESID_GBR_n150_d1_lr0.05_w36,2025Q3; 2025Q4; 2026Q1; 2026Q2,2025Q3; 2025Q4; 2026Q1,2026Q2,False,Current-finalist FY nowcast (3 actual + 1 forecast),97.02749380159366,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2026,FY2026,Key volumes,Heavy RUC net km,heavy_ruc_net_km,4062.241798831312,million km,bridge_input,forecast_scenario_comparison.parquet,data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q2,sum quarterly current finalist Heavy RUC net km,source_backed,current_finalist_model,,,,,,,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,2025Q3; 2025Q4; 2026Q1; 2026Q2,2025Q3; 2025Q4; 2026Q1,2026Q2,False,Current-finalist FY nowcast (3 actual + 1 forecast),-34.758953499008385,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2026,FY2026,Key volumes,Light BEV RUC net km,light_bev_ruc_net_km,1237.1740107408814,million km,bridge_input,forecast_scenario_comparison.parquet; official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q2; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q2; scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q1; 2026Q2); official_annual.csv:population_proxy (2025Q3; 2025Q4); VFM 202405 Base uptake shares; BEFU26 rate cells AA5; AA7; AA9,base pool (conventional / VFM Base conventional share) * VFM Base Light BEV share,source_backed,raw AR(1) PED VKT per capita x scenario-input population; raw Light RUC conventional model forecast expanded by MoT VFM 202405 Base uptake shares (conventional_anchor_vfm_composition_v1),,,,,,,PED__VNEXT_SOLVED_CONVEX_TOP2; dynamic_RESID_GBR_n150_d1_lr0.05_w36; HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,2025Q3; 2025Q4; 2026Q1; 2026Q2,2025Q3; 2025Q4,2026Q1; 2026Q2,False,Current-finalist FY nowcast (2 actual + 2 forecast),29.171947236685128,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2026,FY2026,Key volumes,Heavy BEV RUC net km,heavy_bev_ruc_net_km,0.0,million km,bridge_input,annual_spine.csv,AA8,nan,source_backed,BEFU26 official fixed component,,,,,,,,2025Q3; 2025Q4; 2026Q1; 2026Q2,2025Q3; 2025Q4,2026Q1; 2026Q2,False,Current-finalist FY nowcast (2 actual + 2 forecast),0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2026,FY2026,Key volumes,PHEV RUC net km,phev_ruc_net_km,647.879998554768,million km,bridge_input,forecast_scenario_comparison.parquet; official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q2; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q2; scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q1; 2026Q2); official_annual.csv:population_proxy (2025Q3; 2025Q4); VFM 202405 Base uptake shares; BEFU26 rate cells AA5; AA7; AA9,base pool (conventional / VFM Base conventional share) * VFM Base PHEV share,source_backed,raw AR(1) PED VKT per capita x scenario-input population; raw Light RUC conventional model forecast expanded by MoT VFM 202405 Base uptake shares (conventional_anchor_vfm_composition_v1),,,,,,,PED__VNEXT_SOLVED_CONVEX_TOP2; dynamic_RESID_GBR_n150_d1_lr0.05_w36; HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,2025Q3; 2025Q4; 2026Q1; 2026Q2,2025Q3; 2025Q4,2026Q1; 2026Q2,False,Current-finalist FY nowcast (2 actual + 2 forecast),15.207016492237472,current_basecase,basecase,Current planned path,available,,,,
