series_option,canonical_id,display_name,metric_type,unit,valid_bases,valid_controls,actual_source,primary_forecast_source,excluded_lineage_source,bridge,last_complete_actual_fy,first_forecast_fy,first_forecast_quarter,model_training_cutoff,revenue_actual_cutoff,horizon,availability_status,interpretation
Net MVR revenue,net_mvr_revenue,Net MVR revenue,revenue,$m nominal ex GST,Net; Nominal ex GST,series; time_grain; horizon; revenue_basis,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,data/current_revenue_outlook/revenue_chart_rows.csv + governed bridge rows,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,Calculated from current replacement lines plus selected-MOT fixed rows and explicit residual reporting,2025,FY2026,2026Q1,2025Q4,2026Q1,FY2025-FY2031,current_model_available,Revenue trace must state whether it is current finalist or an official external comparator.
PED VKT per capita,ped_vkt_per_capita,PED VKT per capita,activity,km/person,not_applicable,series; time_grain; horizon,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,data/current_revenue_outlook/revenue_chart_rows.csv + governed bridge rows,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,Direct current finalist econometric forecast,2025,FY2026,2026Q1,2025Q4,2026Q1,FY2025-FY2031,current_model_available,"Activity and volume rows are not revenue-basis, FED-path or Crown-top-up sensitive."
PED revenue,gross_ped_revenue,PED revenue,revenue,$m nominal ex GST,Gross; Nominal ex GST,series; time_grain; horizon; revenue_basis; fed_path,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,data/current_revenue_outlook/revenue_chart_rows.csv + governed bridge rows,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,PED=current VKT/capita forecast * population -> total VKT * litres/100km * nominal PED rate,2025,FY2026,2026Q1,2025Q4,2026Q1,FY2025-FY2031,current_model_available,PED revenue is gross/nominal ex GST only; Net is not a valid PED-only basis.
PED volume,ped_volume,PED volume,activity,million litres,not_applicable,series; time_grain; horizon,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,official_befu25_annual.csv selected-MOT fixed row,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,derived_bridge,2025,FY2026,2026Q1,2025Q4,2026Q1,FY1995-FY2054,source_pack_or_legacy_only,"Activity and volume rows are not revenue-basis, FED-path or Crown-top-up sensitive."
PHEV RUC net km,phev_ruc_net_km,PHEV RUC net km,activity,million km,not_applicable,series; time_grain; horizon,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,official_befu25_annual.csv selected-MOT fixed row,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,derived_bridge,2025,FY2026,2026Q1,2025Q4,2026Q1,FY2001-FY2054,source_pack_or_legacy_only,"Activity and volume rows are not revenue-basis, FED-path or Crown-top-up sensitive."
PHEV RUC net revenue,phev_ruc_net_revenue,PHEV RUC net revenue,revenue,$m nominal ex GST,Gross; Net; Nominal ex GST,series; time_grain; horizon; revenue_basis,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,official_befu25_annual.csv selected-MOT fixed row,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,Selected-MOT/source-pack fixed row; not replaced by current econometric forecast,2025,FY2026,2026Q1,2025Q4,2026Q1,FY2001-FY2055,source_pack_or_legacy_only,Revenue trace must state whether it is current finalist or an official external comparator.
RUC admin revenue,ruc_admin_revenue,RUC admin revenue,revenue,$m nominal ex GST,Gross; Net; Nominal ex GST,series; time_grain; horizon; revenue_basis,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,official_befu25_annual.csv selected-MOT fixed row,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,Selected-MOT/source-pack fixed row; not replaced by current econometric forecast,2025,FY2026,2026Q1,2025Q4,2026Q1,FY2001-FY2054,source_pack_or_legacy_only,Revenue trace must state whether it is current finalist or an official external comparator.
RUC refunds,ruc_refunds,RUC refunds,revenue,$m nominal ex GST,Gross; Net; Nominal ex GST,series; time_grain; horizon; revenue_basis,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,official_befu25_annual.csv selected-MOT fixed row,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,Selected-MOT/source-pack fixed row; not replaced by current econometric forecast,2025,FY2026,2026Q1,2025Q4,2026Q1,FY2001-FY2054,source_pack_or_legacy_only,Revenue trace must state whether it is current finalist or an official external comparator.
RUC revenues net of admin fees,ruc_revenues_net_of_admin_fees,RUC revenues net of admin fees,revenue,$m ex GST,Gross; Net; Nominal ex GST,series; time_grain; horizon; revenue_basis,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,official_befu25_annual.csv selected-MOT fixed row,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,unregistered_source_line,2025,FY2026,2026Q1,2025Q4,2026Q1,FY2001-FY2054,source_pack_or_legacy_only,Revenue trace must state whether it is current finalist or an official external comparator.
RUC revenues net of admin fees & refunds,total_ruc_net_revenue,Total RUC all classes,revenue,$m nominal ex GST,Net; Nominal ex GST,series; time_grain; horizon; revenue_basis,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,data/current_revenue_outlook/revenue_chart_rows.csv + governed bridge rows,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,Calculated from current replacement lines plus selected-MOT fixed rows and explicit residual reporting,2025,FY2026,2026Q1,2025Q4,2026Q1,FY2025-FY2031,current_model_available,Revenue trace must state whether it is current finalist or an official external comparator.
TUC net revenue,tuc_net_revenue,TUC net revenue,revenue,$m nominal ex GST,Net; Nominal ex GST,series; time_grain; horizon; revenue_basis,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,data/current_revenue_outlook/revenue_chart_rows.csv + governed bridge rows,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,Selected-MOT/source-pack fixed row; not replaced by current econometric forecast,2025,FY2026,2026Q1,2025Q4,2026Q1,FY2025-FY2031,current_model_available,Revenue trace must state whether it is current finalist or an official external comparator.
Total NLTF revenue,total_nltf_net_revenue,Total NLTF revenue,revenue,$m nominal ex GST,Net; Nominal ex GST,series; time_grain; horizon; revenue_basis; fed_path; crown_top_up,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,data/current_revenue_outlook/revenue_chart_rows.csv + governed bridge rows,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,Calculated from current replacement lines plus selected-MOT fixed rows and explicit residual reporting,2025,FY2026,2026Q1,2025Q4,2026Q1,FY2025-FY2031,current_model_available,Total/net rollups expose only controls that affect their governed components.
Total RUC forecast incl EV/PHEV,total_ruc_net_revenue,Total RUC all classes,revenue,$m nominal ex GST,Net; Nominal ex GST,series; time_grain; horizon; revenue_basis,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,data/current_revenue_outlook/revenue_chart_rows.csv + governed bridge rows,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,Calculated from current replacement lines plus selected-MOT fixed rows and explicit residual reporting,2025,FY2026,2026Q1,2025Q4,2026Q1,FY2025-FY2031,current_model_available,Revenue trace must state whether it is current finalist or an official external comparator.
Total RUC+PED revenue,total_fed_ruc_net_revenue,Total FED+RUC net revenue,revenue,$m nominal ex GST,Net; Nominal ex GST,series; time_grain; horizon; revenue_basis; fed_path,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,data/current_revenue_outlook/revenue_chart_rows.csv + governed bridge rows,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,Calculated from current replacement lines plus selected-MOT fixed rows and explicit residual reporting,2025,FY2026,2026Q1,2025Q4,2026Q1,FY2025-FY2031,current_model_available,Revenue trace must state whether it is current finalist or an official external comparator.
